a,b,c,d,e,f,g,h,i,
2,1,1.38388,1.44927,1.60921,2.00529,2.09287,2.09708,-0.3074,
2.048,1,1.40851,1.60715,1.79362,2.17665,2.45209,2.5442,0.759621,
2.096,1,1.43293,1.76685,1.95562,2.21224,2.49265,2.36712,1.44037,
2.144,1,1.45714,1.90301,2.05597,2.15114,2.25522,2.2836,2.01563,
2.192,1,1.48115,1.99608,2.08033,2.05982,2.09327,2.16216,2.2949,
2.24,1,1.50497,2.03516,2.04,1.98198,2.12054,1.93085,2.19349,
2.288,1,1.52862,2.01885,1.9631,1.92786,2.13879,1.81811,1.8592,
2.336,1,1.55209,1.95435,1.88149,1.89265,2.02423,1.71436,1.13625,
2.384,1,1.57539,1.85526,1.81924,1.87574,1.89742,1.64377,0.439904,
2.432,1,1.59854,1.73878,1.78628,1.88362,1.89397,1.63739,-0.0986086,
2.48,1,1.62153,1.62286,1.77843,1.91877,1.96233,1.61663,-0.391756,
2.528,1,1.64437,1.52364,1.78236,1.96886,1.9674,1.61842,-0.450596,
2.576,1,1.66707,1.45361,1.78275,2.00751,1.89235,1.66352,-0.485072,
2.624,1,1.68963,1.42059,1.76894,2.00727,1.8449,1.7122,-0.495131,
2.672,1,1.71206,1.42744,1.7389,1.95609,1.89121,1.73997,-0.606669,
2.72,1,1.73436,1.47244,1.69986,1.86664,1.95954,1.71836,-0.680091,
2.768,1,1.75653,1.55013,1.66585,1.77304,1.93034,1.67603,-0.747529,
2.816,1,1.77857,1.65252,1.65333,1.71698,1.78862,1.64574,-0.688782,
2.864,1,1.8005,1.77027,1.67648,1.73043,1.65851,1.55454,-0.657766,
2.912,1,1.82232,1.89386,1.74326,1.82323,1.6901,1.43973,-0.680937,
2.96,1,1.84402,2.01456,1.85334,1.98025,1.92328,1.56433,-0.615708,
3.008,2,1.86561,2.12515,1.99807,2.16827,2.25718,1.99627,0.484797,
3.056,2,1.88709,2.22036,2.1622,2.34842,2.53679,2.37233,0.595131,
3.104,2,1.90848,2.29704,2.32695,2.4889,2.66615,2.37949,0.758417,
3.152,2,1.92976,2.35404,2.47349,2.57325,2.65551,2.17222,0.858018,
3.2,2,1.95094,2.39202,2.58611,2.60219,2.58322,2.06393,0.893695,
3.248,2,1.97202,2.41301,2.65465,2.5897,2.52301,2.08035,1.00171,
3.296,2,1.99302,2.42005,2.67568,2.55571,2.49864,2.05535,1.1777,
3.344,2,2.01392,2.41664,2.65247,2.5187,2.48951,1.96001,1.30667,
3.392,2,2.03473,2.40643,2.59394,2.49043,2.46666,1.90343,1.44815,
3.44,2,2.05545,2.39281,2.51278,2.47417,2.4225,1.91375,1.55566,
3.488,2,2.07609,2.37867,2.42334,2.46603,2.37342,1.90888,1.59974,
3.536,2,2.09664,2.36623,2.3394,2.45845,2.34079,1.85328,1.66581,
3.584,2,2.11711,2.35697,2.27242,2.44407,2.33058,1.81093,1.71587,
3.632,2,2.1375,2.35161,2.23024,2.41878,2.32825,1.83582,1.74509,
3.68,2,2.15781,2.35021,2.21646,2.38323,2.31063,1.89603,1.76525,
3.728,2,2.17805,2.35224,2.23051,2.34244,2.26401,1.92743,1.77549,
3.776,2,2.19821,2.35679,2.26817,2.30416,2.195,1.90905,1.77064,
3.824,2,2.2183,2.36269,2.32259,2.27656,2.12769,1.86193,1.79055,
3.872,2,2.23831,2.36867,2.38539,2.266,2.08987,1.80972,1.83207,
3.92,2,2.25825,2.37354,2.44789,2.27548,2.09763,1.77025,1.839,
3.968,2,2.27812,2.37625,2.5022,2.30408,2.14691,1.76562,1.87235,
4.016,2,2.29793,2.37607,2.54203,2.34724,2.21577,1.80619,1.83108,
4.064,2,2.31766,2.37257,2.56328,2.39789,2.27506,1.86225,1.73769,
4.112,2,2.33733,2.36569,2.56424,2.44786,2.30142,1.87628,1.7108,
4.16,2,2.35694,2.35572,2.54556,2.48936,2.28657,1.81941,1.67943,
4.208,2,2.37648,2.34329,2.50994,2.51619,2.23922,1.72926,1.68259,
4.256,2,2.39596,2.32929,2.46167,2.52457,2.18001,1.6791,1.72155,
4.304,2,2.41537,2.31483,2.40605,2.51346,2.13239,1.70685,1.73124,
4.352,2,2.43473,2.30116,2.34877,2.48446,2.1135,1.77885,1.69287,
4.4,2,2.45402,2.28959,2.29539,2.44147,2.12841,1.82503,1.65552,
4.448,2,2.47326,2.28138,2.25086,2.39,2.16937,1.80665,1.62232,
4.496,2,2.49244,2.27773,2.21915,2.33657,2.21976,1.74818,1.58553,
4.544,2,2.51156,2.27966,2.20303,2.28797,2.26081,1.70687,1.51148,
4.592,2,2.53063,2.28799,2.20402,2.25066,2.2787,1.7152,1.43738,
4.64,2,2.54964,2.3033,2.2224,2.23024,2.26963,1.75205,1.36679,
4.688,2,2.5686,2.32589,2.25733,2.23102,2.24143,1.7657,1.27318,
4.736,2,2.58751,2.35579,2.3071,2.25565,2.2114,1.72364,1.22799,
4.784,2,2.60636,2.39276,2.3693,2.30498,2.20113,1.64552,1.17684,
4.832,2,2.62516,2.43631,2.44114,2.37794,2.23001,1.59469,1.12123,
4.88,2,2.64391,2.4857,2.51965,2.47163,2.30931,1.63815,1.12766,
4.928,2,2.66261,2.54003,2.60192,2.58151,2.43857,1.80505,1.12161,
4.976,2,2.68126,2.59821,2.68526,2.70176,2.60527,2.06942,1.03795,
5.024,3,2.69986,2.65909,2.76732,2.82574,2.78774,2.36353,2.1531,
5.072,3,2.71841,2.72142,2.84617,2.94659,2.96042,2.61051,2.05984,
5.12,3,2.73691,2.78394,2.92031,3.05775,3.10009,2.75755,2.06293,
5.168,3,2.75537,2.84545,2.98869,3.15359,3.19109,2.79471,2.06999,
5.216,3,2.77378,2.90479,3.05063,3.22987,3.22859,2.75284,2.07276,
5.264,3,2.79215,2.9609,3.10578,3.28407,3.21882,2.68425,2.0761,
5.312,3,2.81047,3.01288,3.15404,3.31564,3.17661,2.63627,2.09572,
5.36,3,2.82875,3.05997,3.19549,3.32588,3.12112,2.63082,2.14271,
5.408,3,2.84698,3.10158,3.2303,3.3178,3.07077,2.65907,2.17813,
5.456,3,2.86517,3.13731,3.25872,3.29572,3.039,2.6927,2.20758,
5.504,3,2.88332,3.16694,3.28098,3.26477,3.03167,2.70407,2.23575,
5.552,3,2.90142,3.19044,3.29732,3.23034,3.0466,2.68316,2.27077,
5.6,3,2.91949,3.20795,3.30797,3.1975,3.07526,2.64176,2.32351,
5.648,3,2.93751,3.21977,3.31311,3.17051,3.10576,2.60373,2.34296,
5.696,3,2.95549,3.22635,3.31296,3.15244,3.12643,2.58846,2.35821,
5.744,3,2.97343,3.22825,3.30775,3.1449,3.12886,2.59871,2.36152,
5.792,3,2.99133,3.22617,3.29778,3.14801,3.10984,2.62001,2.37339,
5.84,3,3.0092,3.22083,3.28343,3.16043,3.07174,2.6313,2.40399,
5.888,3,3.02702,3.21307,3.26518,3.17965,3.0215,2.61923,2.42075,
5.936,3,3.04481,3.2037,3.24364,3.20235,2.9685,2.5867,2.44057,
5.984,3,3.06256,3.19359,3.21957,3.22479,2.92212,2.55057,2.4537,
6.032,3,3.08027,3.18355,3.19382,3.24328,2.88948,2.53041,2.47002,
6.08,3,3.09794,3.17439,3.16739,3.25462,2.87391,2.53575,2.4759,
6.128,3,3.11558,3.16684,3.14135,3.25644,2.87449,2.55989,2.48972,
6.176,3,3.13318,3.16158,3.11684,3.24746,2.88659,2.58381,2.47805,
6.224,3,3.15075,3.1592,3.09502,3.22766,2.9032,2.58772,2.47355,
6.272,3,3.16828,3.16021,3.07704,3.19823,2.91673,2.56292,2.45261,
6.32,3,3.18577,3.165,3.06397,3.16153,2.92083,2.51722,2.42875,
6.368,3,3.20323,3.17388,3.05679,3.12082,2.91171,2.47056,2.39863,
6.416,3,3.22066,3.18704,3.05631,3.07997,2.88901,2.44357,2.3907,
