a,b,c,d,e,f,g,h,i,
21.2,8,7.7467,8.00739,8.0117,7.85605,7.52106,7.28201,7.61509,
21.248,8,7.75983,8.01329,8.01404,7.84472,7.52762,7.28257,7.61115,
21.296,8,7.77295,8.01932,8.01633,7.83391,7.533,7.28603,7.61535,
21.344,8,7.78607,8.02547,8.01862,7.82379,7.53704,7.29204,7.61687,
21.392,8,7.79918,8.03175,8.02093,7.81448,7.53967,7.30005,7.60352,
21.44,8,7.81228,8.03817,8.02328,7.80613,7.54085,7.30939,7.59415,
21.488,8,7.82537,8.04473,8.0257,7.79887,7.54058,7.31927,7.59428,
21.536,8,7.83846,8.05144,8.02823,7.79282,7.53894,7.32889,7.58764,
21.584,8,7.85154,8.05829,8.03088,7.78807,7.53605,7.3374,7.58317,
21.632,8,7.86462,8.0653,8.03369,7.78474,7.53207,7.34405,7.5913,
21.68,8,7.87769,8.07246,8.03669,7.78291,7.52722,7.34813,7.59056,
21.728,8,7.89076,8.07977,8.03989,7.78265,7.52176,7.34913,7.57783,
21.776,8,7.90381,8.08724,8.04332,7.78402,7.51598,7.34668,7.57735,
21.824,8,7.91687,8.09487,8.04702,7.78707,7.5102,7.34062,7.58181,
21.872,8,7.92991,8.10265,8.051,7.79185,7.50475,7.33102,7.57398,
21.92,8,7.94295,8.11058,8.05528,7.79838,7.49999,7.31815,7.57377,
21.968,8,7.95598,8.11867,8.05989,7.80666,7.49628,7.30254,7.58631,
22.016,8,7.96901,8.1269,8.06485,7.81671,7.49398,7.2849,7.58181,
